date,country,price
1966-03-31,Emerging market economies,
1966-03-31,Advanced economies,
1966-03-31,United Arab Emirates,
1966-03-31,Austria,
1966-03-31,Australia,
1966-03-31,Belgium,
1966-03-31,Bulgaria,
1966-03-31,Brazil,
1966-03-31,Canada,
1966-03-31,Switzerland,
1966-03-31,Chile,
1966-03-31,China,
1966-03-31,Colombia,
1966-03-31,Cyprus,
1966-03-31,Czech Republic,
1966-03-31,Germany,
1966-03-31,Denmark,
1966-03-31,Estonia,
1966-03-31,Spain,
1966-03-31,Finland,
1966-03-31,France,
1966-03-31,United Kingdom,
1966-03-31,Greece,
1966-03-31,Hong Kong SAR,
1966-03-31,Croatia,
1966-03-31,Hungary,
1966-03-31,Indonesia,
1966-03-31,Ireland,
1966-03-31,Israel,
1966-03-31,India,
1966-03-31,Iceland,
1966-03-31,Italy,
1966-03-31,Japan,
1966-03-31,Korea,
1966-03-31,Lithuania,
1966-03-31,Luxembourg,
1966-03-31,Latvia,
1966-03-31,Morocco,
1966-03-31,"Macedonia, FYR",
1966-03-31,Malta,
1966-03-31,Mexico,
1966-03-31,Malaysia,
1966-03-31,Netherlands,
1966-03-31,Norway,
1966-03-31,New Zealand,
1966-03-31,Peru,
1966-03-31,Philippines,
1966-03-31,Poland,
1966-03-31,Portugal,
1966-03-31,Romania,
1966-03-31,Serbia,
1966-03-31,Russia,
1966-03-31,Sweden,
1966-03-31,Singapore,
1966-03-31,Slovenia,
1966-03-31,Slovak Republic,
1966-03-31,Thailand,
1966-03-31,Turkey,
1966-03-31,United States,
1966-03-31,Euro area,
1966-03-31,South Africa,1.08
1966-06-30,Emerging market economies,
1966-06-30,Advanced economies,
1966-06-30,United Arab Emirates,
1966-06-30,Austria,
1966-06-30,Australia,
1966-06-30,Belgium,
1966-06-30,Bulgaria,
1966-06-30,Brazil,
1966-06-30,Canada,
1966-06-30,Switzerland,
1966-06-30,Chile,
1966-06-30,China,
1966-06-30,Colombia,
1966-06-30,Cyprus,
1966-06-30,Czech Republic,
1966-06-30,Germany,
1966-06-30,Denmark,
1966-06-30,Estonia,
1966-06-30,Spain,
1966-06-30,Finland,
1966-06-30,France,
1966-06-30,United Kingdom,
1966-06-30,Greece,
1966-06-30,Hong Kong SAR,
1966-06-30,Croatia,
1966-06-30,Hungary,
1966-06-30,Indonesia,
1966-06-30,Ireland,
1966-06-30,Israel,
1966-06-30,India,
1966-06-30,Iceland,
1966-06-30,Italy,
1966-06-30,Japan,
1966-06-30,Korea,
1966-06-30,Lithuania,
1966-06-30,Luxembourg,
1966-06-30,Latvia,
1966-06-30,Morocco,
