Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,412,3232270669,446,229,432,6,443,58133,0,0,0,0,1,3232270669,6,443,58133,446,446,446,446.0,446.0,0.0,-3.0,0.0,446.0,446.0,0.0,412,412,412,412.0,412.0,0.0,-3.0,0.0,412.0,412.0,0.0,1633440886.712587,0.0,0.0
1,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,2,3232270669,6,443,443,533,87,446,266.5,266.5,0.0,-2.0,32220.25,356.25,176.75,179.5,465,53,412,232.5,232.5,0.0,-2.0,32220.25,322.25,142.75,179.5,1633440886.72589,0.0133028030395507,0.0133028030395507
2,1,0,0,1,1,3,385,3232270669,419,229,405,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,952,87,446,419.0,317.3333333333333,-0.6926264386639355,-1.5000000000000002,26648.222222222223,432.5,253.0,179.5,850,53,412,385.0,283.3333333333333,-0.6926264386639355,-1.5000000000000002,26648.222222222223,398.5,219.0,179.5,1633440886.769094,0.0432040691375732,0.0565068721771239
3,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,2,3232270669,6,443,443,1039,87,446,253.0,259.75,0.0091187754526259,-1.9878508859326756,29933.6875,425.75,87.0,338.75,903,53,412,219.0,225.75,0.0091187754526259,-1.9878508859326756,29933.6875,391.75,53.0,338.75,1633440886.78001,0.010915994644165,0.0674228668212889
4,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1093,54,446,87.0,218.6,0.4007634620475334,-1.8088273604463845,30720.24,419.0,87.0,332.0,923,20,412,53.0,184.6,0.4007634620475334,-1.8088273604463845,30720.24,385.0,53.0,332.0,1633440886.8491,0.0690901279449462,0.1365129947662351
5,1,0,0,1,3,1,283,911297469,317,255,303,6,58133,443,0,0,0,0,2,3232270669,6,443,443,1410,54,446,202.0,235.0,0.1417392054156291,-1.8048261978165523,26945.0,393.5,87.0,306.5,1206,20,412,168.0,201.0,0.1417392054156291,-1.8048261978165523,26945.0,359.5,53.0,306.5,1633440886.851967,0.0028669834136962,0.1393799781799313
6,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1464,54,446,87.0,209.14285714285717,0.405619166398119,-1.6729170927403147,27107.265306122445,368.0,70.5,297.5,1226,20,412,53.0,175.14285714285714,0.405619166398119,-1.6729170927403147,27107.265306122445,334.0,36.5,297.5,1633440886.88089,0.0289227962493896,0.1683027744293209
7,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,2,3232270669,6,443,58133,1551,54,446,87.0,193.875,0.6245652430262245,-1.4446984103004898,25350.609375,342.5,78.75,263.75,1279,20,412,53.0,159.875,0.6245652430262245,-1.4446984103004898,25350.609375,308.5,44.75,263.75,1633440886.886068,0.0051782131195068,0.1734809875488277
8,0,1,0,0,2,1,56,3232270593,90,255,76,17,18638,53,1,0,0,0,3,3232270669,6,443,58133,1641,54,446,87.0,182.33333333333331,0.8095557419903896,-1.172123742687587,23599.55555555555,317.0,87.0,230.0,1335,20,412,53.0,148.33333333333334,0.8095557419903896,-1.172123742687587,23599.55555555555,283.0,53.0,230.0,1633440886.923985,0.0379168987274169,0.21139788627624462
9,1,0,0,1,1,3,414,3232270669,448,229,434,6,443,58133,1,0,0,0,3,3232270669,6,443,58133,2089,54,448,88.5,208.9,0.5015508349525608,-1.6171917616007556,27591.69,393.5,87.0,306.5,1749,20,414,54.5,174.9,0.5015508349525608,-1.6171917616007556,27591.69,359.5,53.0,306.5,1633440886.929108,0.0051229000091552,0.2165207862853998
10,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,1,0,0,0,3,3232270669,6,443,58133,2143,54,448,87.0,194.8181818181818,0.6508259389948062,-1.443369413716322,27066.3305785124,368.0,70.5,297.5,1769,20,414,53.0,160.8181818181818,0.6508259389948062,-1.443369413716322,27066.3305785124,334.0,36.5,297.5,1633440886.931908,0.0027999877929687,0.2193207740783685
11,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,1,0,0,0,3,3232270669,6,443,58133,2230,54,448,87.0,185.83333333333331,0.7878035348642993,-1.2423753096298134,25698.80555555555,342.5,78.75,263.75,1822,20,414,53.0,151.83333333333334,0.7878035348642993,-1.2423753096298134,25698.80555555555,308.5,44.75,263.75,1633440886.934332,0.0024240016937255,0.221744775772094
